"","mun","uf","crivo1","crivo2","sexo","idade","fx.idade","esc","sit","pea","satdem","jg1","jg3","jg4","fechacn","gc1","gc2","gc5","gc6","gc7","gc8","gc11","gc18","avalcn","problemabr","avallula","avalbolsonaro","avalmoro","avaldino","avalciro","avaldoria","avalhaddad","militargov","info1","voto18","ed","partsimp","partsimp2","partsimpn","partisimpn2","avalgov","cara1","cara2","cara3","cara4","cara5","cara6","cara7","cara8","classe8","classe8a","classe3m","classe3m_a","classe1","rcor","relig","fx.renda","reg"
"212","-Recife ","Pernambuco "," - Sim ","- Não ","Feminino",31," – 25 a 34 anos"," - Ensino universitário completo"," - Empregado assalariado com registro em carteira","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Confia muito"," - Confia muito"," - Confia pouco"," - Confia pouco"," - Confia muito"," - Regular "," - Pandemia do novo Corona vírus ","5","6","4","NS","NS","NS","NS"," - Não","-Nunca busca informações sobre política","Jair Bolsonaro"," - 8 "," - Não",NA," - Não",NA," - Regular"," – NS"," – NS"," – NS"," - Concorda pouco",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - depende da situação "," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Nem concorda nem discorda","- Permaneceram na mesma classe","- Média baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," - Pardo"," - Católica ",". De R$ 5226,00 a R$ 10450,00 (+ de 5SM até 10 SM) ","Nordeste"
"213","-Recife ","Pernambuco "," - Sim ","- Não ","Feminino",66,"65 ou mais"," - Primário incompleto (até 3ª serie do ensino fundamental)"," - Aposentado por tempo de trabalho ","NÃO PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Não confia"," - Não confia"," - Confia mais ou menos"," - Confia mais ou menos"," - Não confia"," - Não confia"," - Não confia"," - Confia pouco"," - Ruim","Crise política","Gosta muito","Não gosta de jeito nenhum","5","NS","5","NS","Gosta muito"," - Não","-Noticiário da TV "," – Não compareceu/JUSTIFICOU"," - 7 ","Sim "," - PT ","Sim "," - PSL "," - Péssimo"," deveria sofrer um impeachment","-Sim ","Não podem ocorrer em uma democracia ","Concorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos",". Está totalmente isolado, sem sair de casa de jeito nenhum","Concorda muito","- Permaneceram na mesma classe","- Média baixa","- Permaneceram na mesma classe","- Mais baixa","- Média baixa"," - Pardo"," - Católica ",". De R$ 2091,00 a R$ 3135,00 (+ de 2SM até 3 SM) ","Nordeste"
"214","-Recife ","Pernambuco "," - Sim ","- Não ","Masculino",44," – 35 a 44 anos"," - Colegial completo (3ª série do ensino médio)"," - Autônomo / conta própria","PEA"," - Muito insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Sim"," - Não confia"," - Confia pouco"," - Confia muito"," - Confia muito"," - Confia muito"," - Confia muito"," - Não confia"," - Confia pouco"," - Péssimo"," - Economia, problemas com, crise de","Não gosta de jeito nenhum","5","Não gosta de jeito nenhum","NS","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Sim","-Busca/PESQUISA no Google (SITES?)","Jair Bolsonaro"," - 5"," - Não",NA,"Sim "," - PSL ","Ótimo"," - deveria continuar no cargo","-Não"," - É normal que ocorram em uma democracia"," - Discorda pouco",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - do governo federal"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Discorda pouco","- Permaneceram na mesma classe","- Mais baixa","- Permaneceram na mesma classe","- Baixa","- Mais baixa"," - Branco"," - Católica ",". De R$ 1046,00 a R$ 2090,00 (+ de 1SM até 2 SM) ","Nordeste"
"215","-Fortaleza ","Ceará "," - Sim ","- Não ","Masculino",23," – 18 a 24 anos "," - Ensino universitário completo"," - Empregado assalariado com registro em carteira","PEA"," - Satisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Sim"," - Confia muito"," - Confia pouco"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia muito"," - Confia mais ou menos"," - Confia mais ou menos"," - NS"," - Direitos humanos, violações de","5","6","8","NS","5","5","5","Sim","-Busca/PESQUISA no Google (SITES?)","Jair Bolsonaro"," - NS "," - Não",NA," - Não",NA," - Regular"," - deveria continuar no cargo"," – NS","Não podem ocorrer em uma democracia "," - Concorda pouco",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Concorda pouco","Mudaram de classe social","- Média média","- Permaneceram na mesma classe","- Média média","- Média média"," - Pardo"," - É ateu/ Agnóstico/ Não acredita em Deus",". De R$ 5226,00 a R$ 10450,00 (+ de 5SM até 10 SM) ","Nordeste"
"216","-Fortaleza ","Ceará "," - Sim ","- Não ","Feminino",25," – 25 a 34 anos"," - Colegial incompleto (até 2ª série do ensino médio)"," - Desempregado (procurando emprego)","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia pouco"," - Não confia"," - Confia pouco"," - Confia muito"," - Confia mais ou menos"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Ruim"," - Pandemia do novo Corona vírus ","8","8","5","7","6","8","6"," - Não","-Noticiário da TV "," – Branco "," - NS "," - Não",NA," - Não",NA," - Bom"," – NS"," – NS"," - É normal que ocorram em uma democracia"," - Discorda pouco","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Nem concorda nem discorda","Mudaram de classe social","- Baixa","- Permaneceram na mesma classe","- Baixa","- Baixa"," - Pardo"," - Espírita kardecista, espiritualista ",". De R$ 1046,00 a R$ 2090,00 (+ de 1SM até 2 SM) ","Nordeste"
"217","-Fortaleza ","Ceará "," - Sim ","- Não ","Feminino",31," – 25 a 34 anos"," - Ensino universitário completo"," - Empregado assalariado com registro em carteira","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Confia pouco"," - Confia pouco"," - Não confia"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Não confia"," - Péssimo"," - Pandemia do novo Corona vírus ","Gosta muito","2","6","5","5","4","Gosta muito"," - Não","-Busca/PESQUISA no Google (SITES?)"," – Fernando Haddad"," - 2 ","Sim "," - PT ","Sim "," - MDB (ex-PMDB)"," - Péssimo"," deveria sofrer um impeachment","-Sim ","Não podem ocorrer em uma democracia "," - Concorda pouco","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos",". Está totalmente isolado, sem sair de casa de jeito nenhum","Concorda muito","Mudaram de classe social","- Média baixa","Mudaram de classe social","- Baixa","- Baixa"," Preto"," - É ateu/ Agnóstico/ Não acredita em Deus",". De R$ 5226,00 a R$ 10450,00 (+ de 5SM até 10 SM) ","Nordeste"
"218","-Brasília ","Distrito Federal "," - Sim ","- Não ","Feminino",28," – 25 a 34 anos"," - Colegial completo (3ª série do ensino médio)"," - Desempregado (não procura emprego) ","NÃO PEA"," - Insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Sim"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Confia mais ou menos"," - Não confia"," - Confia muito"," - Regular "," - Pandemia do novo Corona vírus ","Não gosta de jeito nenhum","Gosta muito","9","8","7","9","6","Sim","-Noticiário da TV "," – Não compareceu/JUSTIFICOU"," - NS "," - Não",NA,"Sim "," - PT ","Ótimo"," - deveria continuar no cargo","-Sim ","Não podem ocorrer em uma democracia "," - Concorda pouco","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos",". Está totalmente isolado, sem sair de casa de jeito nenhum","Concorda muito","Mudaram de classe social","- Média média","- Permaneceram na mesma classe","- Média média","- Média baixa"," - Branco"," - Católica ",". De R$ 5226,00 a R$ 10450,00 (+ de 5SM até 10 SM) ","Centro-Oeste"
"219","-Itaguaçu da Bahia "," Bahia "," - Sim ","- Não ","Masculino",23," – 18 a 24 anos "," - Ginásio completo (8ª série do ensino fundamental)"," - Desempregado (procurando emprego)","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia pouco"," - Confia mais ou menos"," - Confia pouco"," - Confia mais ou menos"," - Ruim"," - Pandemia do novo Corona vírus ","6","5","5","NS","5","5","6"," – NS","-Noticiário da TV "," – Não compareceu/JUSTIFICOU"," - 5"," - Não",NA," - Não",NA," - Regular","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR"," – NS"," - É normal que ocorram em uma democracia"," - Nem concorda nem discorda",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - de governadores e prefeitos",". Está vivendo normalmente, sem mudar nada na sua rotina"," - Concorda pouco","- Permaneceram na mesma classe","- Baixa","- Permaneceram na mesma classe","- Baixa","- Baixa"," Preto"," - Católica ","Até R$ 1045,00 (até 1 SM) ","Nordeste"
"220","-São Paulo ","São Paulo "," - Sim ","- Não ","Feminino",39," – 35 a 44 anos"," - Ensino universitário completo"," - Empregado assalariado com registro em carteira","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Não confia"," - Não confia"," - Não confia"," - Ruim","Outro","7","2","2","2","5","5","7"," - Não","-Busca/PESQUISA no Google (SITES?)"," – Fernando Haddad"," – NR"," - Não",NA," - Não",NA," - Péssimo","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim "," - É normal que ocorram em uma democracia"," - Concorda pouco","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos",". Saindo de casa só quando é inevitável","Concorda muito","- Permaneceram na mesma classe","- Média alta","- Permaneceram na mesma classe","- Média alta","- Média alta"," - Pardo"," - Espírita kardecista, espiritualista ",". De R$ 10451,00 a R$ 15675,00 (+ de 10SM até 15 SM) ","Sudeste"
"221","-São Gonçalo ","Rio de Janeiro "," - Sim ","- Não ","Feminino",50," - 45 a 54 anos  "," - Colegial incompleto (até 2ª série do ensino médio)"," - Autônomo / conta própria","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Não confia"," - Não confia"," - Confia pouco"," - Confia muito"," - Não confia"," - Confia pouco"," - Não confia"," - Confia mais ou menos"," - Regular "," - Corrupção ","Não gosta de jeito nenhum","2","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum"," - Não","-Noticiário da TV ","Jair Bolsonaro"," - 4 "," - Não",NA,"Sim "," - DEM(Democratas) (ex-PFL)"," - Ruim","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim ","Não podem ocorrer em uma democracia "," - Discorda muito",". O SUS tem se saído mal no enfrentamento da pandemia e sua continuidade  deveria ser discutida"," - do governo federal",". Saindo de casa só quando é inevitável","Concorda muito","Mudaram de classe social","- Média média","- Permaneceram na mesma classe","- Média média","- Média média"," - Pardo"," - Evangélica ",". De R$ 2091,00 a R$ 3135,00 (+ de 2SM até 3 SM) ","Sudeste"
"222","-Itaguaçu da Bahia "," Bahia "," - Sim ","- Não ","Masculino",40," – 35 a 44 anos"," - Ginásio incompleto (até 7ª série do ensino fundamental)"," - Empregador/empresário","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Confia pouco"," - Confia pouco"," - Confia muito"," - Não confia"," - Confia pouco"," - Confia mais ou menos"," - Confia mais ou menos"," - Ruim"," - Pandemia do novo Corona vírus ","Gosta muito","4","8","NS","NS","6","8"," - Não","-Noticiário da TV "," – Fernando Haddad"," - 3 "," - Não",NA," - Não",NA," - Ruim"," – NS","-Sim ","Não podem ocorrer em uma democracia ","Concorda muito",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - do governo federal"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades","Concorda muito","Mudaram de classe social","- Média baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," - Pardo"," - Católica ",". De R$ 1046,00 a R$ 2090,00 (+ de 1SM até 2 SM) ","Nordeste"
"223","-Itaquaquecetuba ","São Paulo "," - Sim ","- Não ","Feminino",27," – 25 a 34 anos"," - Pós-graduação ou mais"," - Empregado assalariado com registro em carteira","PEA"," - Satisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - NS"," - Confia mais ou menos"," - Confia pouco"," - Confia mais ou menos"," - Confia muito"," - Confia pouco"," - Não confia"," - Confia pouco"," - Confia pouco"," - Regular "," - Saúde, falta de serviço ","2","2","3","NS","Não gosta de jeito nenhum","2","3","Sim","Jornais e Revistas "," – Branco "," - 5"," - Não",NA," - Não",NA," - Ruim","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR"," – NS"," – NS"," - Concorda pouco","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Concorda pouco","- Permaneceram na mesma classe","- Média baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," - Branco"," - Evangélica ",". De R$ 3136,00 a R$ 5225,00 (+ de 3SM até 5 SM) ","Sudeste"
"224","-Brasília ","Distrito Federal "," - Sim ","- Não ","Masculino",55," - 55 a 64 anos"," - Ensino universitário completo"," - Aposentado por tempo de trabalho ","NÃO PEA"," - Satisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Não confia"," - Confia muito"," - Não confia"," - Confia mais ou menos"," - Confia muito"," - Não confia"," - Confia muito"," - Bom"," - Desemprego/falta de emprego ","Não gosta de jeito nenhum","Gosta muito","Não gosta de jeito nenhum","NS","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Sim","-Noticiário da TV ","Jair Bolsonaro"," - 10 [direita]"," - Não",NA,"Sim "," - PT ","Ótimo"," - deveria continuar no cargo","-Não","Não podem ocorrer em uma democracia "," - Discorda muito",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - do governo federal",". Está vivendo normalmente, sem mudar nada na sua rotina"," - Discorda pouco","- Permaneceram na mesma classe","- Média média","- Permaneceram na mesma classe","- Média média","- Média média"," - Pardo"," - Evangélica ",". De R$ 5226,00 a R$ 10450,00 (+ de 5SM até 10 SM) ","Centro-Oeste"
"225","-São Paulo ","São Paulo "," - Sim ","- Não ","Masculino",39," – 35 a 44 anos"," - Ensino universitário completo"," - Empregado assalariado com registro em carteira","PEA"," - Muito insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Não confia"," - Confia mais ou menos"," - Não confia"," - Regular "," - Pandemia do novo Corona vírus ","7","Não gosta de jeito nenhum","5","NS","5","5","7"," - Não","-Noticiário da TV "," – Fernando Haddad"," - 3 "," - Não",NA,"Sim "," - PSL "," - Péssimo"," deveria sofrer um impeachment","-Sim ","Não podem ocorrer em uma democracia ","Concorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos",". Está totalmente isolado, sem sair de casa de jeito nenhum","Concorda muito","- Permaneceram na mesma classe","- Média média","- Permaneceram na mesma classe","- Média média","- Média média"," - Branco"," – NS",". De R$ 10451,00 a R$ 15675,00 (+ de 10SM até 15 SM) ","Sudeste"
"226","-Salvador "," Bahia "," - Sim ","- Não ","Masculino",66,"65 ou mais"," - Ginásio completo (8ª série do ensino fundamental)"," - Aposentado por invalidez ","NÃO PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Não confia"," - Confia pouco"," - Confia muito"," - Confia pouco"," - Confia pouco"," - Confia muito"," - Confia muito"," - Bom"," - Pandemia do novo Corona vírus ","8","5","5","5","3","6","5"," - Não","-Noticiário da TV "," – Fernando Haddad"," - 1 [esquerda] ","Sim "," - PT "," - Não",NA," - Ruim"," – NS","-Sim "," - É normal que ocorram em uma democracia","Concorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos",". Saindo de casa só quando é inevitável","Concorda muito","- Permaneceram na mesma classe","- Mais baixa","- Permaneceram na mesma classe","- Mais baixa","- Mais baixa"," - Pardo"," - Evangélica ","Até R$ 1045,00 (até 1 SM) ","Nordeste"
"227","-São Gonçalo ","Rio de Janeiro "," - Sim ","- Não ","Feminino",48," - 45 a 54 anos  "," - Colegial completo (3ª série do ensino médio)"," - Autônomo / conta própria","PEA"," - Insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia mais ou menos"," - Não confia"," - Não confia"," - Confia muito"," - Confia pouco"," - Não confia"," - Confia mais ou menos"," - Confia mais ou menos"," - Regular "," - Desemprego/falta de emprego ","2","Não gosta de jeito nenhum","2","2","3","3","3"," - Não","-Noticiário da TV "," – Fernando Haddad"," - 9 "," - Não",NA," - Não",NA," - Ruim","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim "," - É normal que ocorram em uma democracia","Concorda muito",". O SUS tem se saído mal no enfrentamento da pandemia e sua continuidade  deveria ser discutida"," - de governadores e prefeitos",". Saindo de casa só quando é inevitável"," - Discorda muito","Mudaram de classe social","- Média baixa","Mudaram de classe social","- Média baixa","- Média baixa"," Preto"," - Candomblé ","Até R$ 1045,00 (até 1 SM) ","Sudeste"
"228","-Fortaleza ","Ceará "," - Sim ","- Não ","Feminino",50," - 45 a 54 anos  "," - Colegial completo (3ª série do ensino médio)"," - Autônomo / conta própria","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Não confia"," - Não confia"," - Não confia"," - Confia pouco"," - Não confia"," - Não confia"," - Não confia"," - Não confia"," - Péssimo","Crise política","8","2","4","NS","4","6","8"," - Não","-Noticiário da TV ","Jair Bolsonaro"," - NS "," - Não",NA," - Não",NA," - Péssimo","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim ","Não podem ocorrer em uma democracia ","Concorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades","Concorda muito","- Permaneceram na mesma classe","- Média baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," - Pardo"," - Evangélica ",". De R$ 3136,00 a R$ 5225,00 (+ de 3SM até 5 SM) ","Nordeste"
"229","-Fortaleza ","Ceará "," - Sim ","- Não ","Masculino",29," – 25 a 34 anos"," - Ensino universitário completo"," - Funcionário / Servidor Público","PEA"," - Satisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Sim"," - Não confia"," - Não confia"," - Confia pouco"," - Confia pouco"," - Confia mais ou menos"," - Confia mais ou menos"," - Não confia"," - Não confia"," - Ruim","Crise política","5","8","7","2","Não gosta de jeito nenhum","3","2","Sim","-Busca/PESQUISA no Google (SITES?)","Jair Bolsonaro"," - 2 "," - Não",NA," - Não",NA," - Bom"," - deveria continuar no cargo","-Não"," - É normal que ocorram em uma democracia"," - Discorda muito","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Discorda pouco","Mudaram de classe social","- Média baixa","Mudaram de classe social","- Baixa","- Baixa"," Preto"," - Evangélica ",". De R$ 3136,00 a R$ 5225,00 (+ de 3SM até 5 SM) ","Nordeste"
"230","-Itaquaquecetuba ","São Paulo "," - Sim ","- Não ","Masculino",17," – 16 e 17 anos"," - Ginásio completo (8ª série do ensino fundamental)"," - Empregado assalariado sem registro em carteira","PEA"," - Insatisfeito"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não se justificaria que os militares tomassem o poder por um golpe de estado"," - Não"," - Confia pouco"," - Confia pouco"," - Não confia"," - Não confia"," - Confia pouco"," - Confia pouco"," - Confia muito"," - Não confia"," - Ruim","Crise política","Não gosta de jeito nenhum","2","Não gosta de jeito nenhum","Não gosta de jeito nenhum","2","4","3"," - Não","-Facebook"," – Não compareceu/JUSTIFICOU"," - 2 "," - Não",NA," - Não",NA," - Ruim"," - deveria continuar no cargo"," – NS"," - É normal que ocorram em uma democracia"," - Discorda pouco","A pandemia mostra a importância do SUS e justifica um substancial aumento em seu financiamento"," - de governadores e prefeitos"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades","Concorda muito","- Permaneceram na mesma classe","- Média baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," - Pardo"," - É ateu/ Agnóstico/ Não acredita em Deus",". De R$ 2091,00 a R$ 3135,00 (+ de 2SM até 3 SM) ","Sudeste"
"231","-Recife ","Pernambuco "," - Sim ","- Não ","Masculino",24," – 18 a 24 anos "," - Colegial completo (3ª série do ensino médio)"," - Autônomo / conta própria","PEA"," - Muito insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Sim"," - Confia mais ou menos"," - Confia pouco"," - Confia mais ou menos"," - Confia mais ou menos"," - Confia pouco"," - Não confia"," - Não confia"," - Não confia"," - Péssimo"," - Pandemia do novo Corona vírus ","Gosta muito","Não gosta de jeito nenhum","Não gosta de jeito nenhum","NS","NS","NS","5"," - Não","-Busca/PESQUISA no Google (SITES?)"," – Fernando Haddad"," - 8 ","Sim "," - PT ","Sim "," - PSB "," - Péssimo","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim ","Não podem ocorrer em uma democracia ","Concorda muito",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - depende da situação "," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades","Concorda muito","- Permaneceram na mesma classe","- Média baixa","- Permaneceram na mesma classe","- Média baixa","- Média baixa"," Preto"," - Evangélica ",". De R$ 3136,00 a R$ 5225,00 (+ de 3SM até 5 SM) ","Nordeste"
"232","-Recife ","Pernambuco "," - Sim ","- Não ","Masculino",25," – 25 a 34 anos"," - Ensino universitário incompleto ou especialização (técnico após ensino médio)"," - Desempregado (procurando emprego)","PEA"," - Insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Sim"," - Não confia"," - Não confia"," - Confia muito"," - Não confia"," - Confia pouco"," - Confia muito"," - Não confia"," - Confia pouco"," - Regular ","Crise política","8","Gosta muito","7","NS","2","2","Não gosta de jeito nenhum"," - Não","-Busca/PESQUISA no Google (SITES?)","Jair Bolsonaro"," - 7 "," - Não",NA,"Sim "," - PT "," - Bom","-  deveria ser afastado do cargo enquanto responde a um processo aberto pela PGR","-Sim "," - É normal que ocorram em uma democracia"," - Concorda pouco",". O SUS tem se saído bem no enfrentamento da pandemia com os recursos que tem e não se justifica um aumento no financi"," - do governo federal",". Está vivendo normalmente, sem mudar nada na sua rotina"," - Nem concorda nem discorda","- Permaneceram na mesma classe","- Baixa","- Permaneceram na mesma classe","- Baixa","- Baixa"," - Pardo"," - É ateu/ Agnóstico/ Não acredita em Deus","Até R$ 1045,00 (até 1 SM) ","Nordeste"
"233","-Brasília ","Distrito Federal "," - Sim ","- Não ","Masculino",35," – 35 a 44 anos"," - Colegial completo (3ª série do ensino médio)"," - Empregado assalariado com registro em carteira","PEA"," - Muito insatisfeito","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado","Seria justificado que os militares tomassem o poder por um golpe de estado"," - Sim"," - Não confia"," - Não confia"," - Confia muito"," - Confia pouco"," - Não confia"," - Confia muito"," - Não confia"," - Confia mais ou menos"," - Péssimo","Outro","Não gosta de jeito nenhum","Gosta muito","4","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum","Não gosta de jeito nenhum"," – Depende","-Noticiário da TV ","Jair Bolsonaro"," - 10 [direita]"," - Não",NA,"Sim "," - PT ","Ótimo"," - deveria continuar no cargo","-Não"," - É normal que ocorram em uma democracia"," - Discorda muito",". O SUS tem se saído mal no enfrentamento da pandemia e sua continuidade  deveria ser discutida"," - do governo federal"," . Tomando cuidado, mas ainda saindo de casa para trabalhar ou fazer outras atividades"," - Discorda muito","Mudaram de classe social","- Média média","- Permaneceram na mesma classe","- Média média","- Média média"," - Pardo"," - Católica ",". De R$ 5226,00 a R$ 10450,00 (+ de 5SM até 10 SM) ","Centro-Oeste"
